marketing_touchpoint_id,channel_name,contact_id,marketing_touchpoint_date
MKv1P00000qYCUZQA4ID,Webinar,CO31P00001AdFyAQAVID,2020-02-13T01:17:44Z
MKv1P00000qYCUWQA4ID,Webinar,CO31P000017aSOLQA2ID,2020-02-13T01:17:44Z
MKv1P00000qZ38cQACID,Adwords,CO31P00001Ce1jXQARID,2020-02-19T17:36:56Z
MKv1P00000qYDMrQAOID,Event,CO31a00000s7F6uAAEID,2020-02-13T10:38:54Z
MKv1P00000qYDdmQAGID,Event,CO31a00000hKhoGAASID,2020-02-13T11:07:30Z
MKv1P00000qYDCmQAOID,Event,CO31P000014DPw8QAGID,2020-02-13T10:19:22Z
MKv1P00000qYE8CQAWID,Event,CO31P0000134jqWQAQID,2020-02-13T12:04:53Z
MKv1P00000qYDypQAGID,Event,CO31a00000xkWOxAAMID,2020-02-13T11:45:52Z
MKv1P00000qYDQyQAOID,Event,CO31P000014DPTZQA4ID,2020-02-13T10:46:49Z
MKv1P00000qZ61gQACID,Webinar,CO31a00000hlPY6AAMID,2020-02-20T16:28:21Z
MKv1P00000qZtoIQASID,Webinar,CO31P00001DB5egQADID,2020-03-04T16:48:23Z
MKv1P00000sAvjXQASID,Webinar,CO31P000019PXogQAGID,2020-04-21T23:40:28Z
MKv1P00000rDXRMQA4ID,Event,CO31P000016bIsiQAEID,2020-04-01T08:58:24Z
MKv1P00000k8oyqQAAID,Website,CO31P000015cg4EQAQID,2019-05-01T16:53:11Z
MKv1P00000k620KQAQID,Event,CO31P000015JE1hQAGID,2019-04-04T00:05:08Z
MKv1P00000k62CBQAYID,Event,CO31a00000f1hF9AAIID,2019-04-04T00:29:19Z
MKv1P00000k7C7pQAEID,Event,CO31a00000cZKLzAAOID,2019-04-18T22:47:35Z
MKv4p00000jRa7KAASID,Adwords,CO34p00001na8ktAAAID,2021-08-17T14:33:13Z
MKv4p00000iiLBSAA2ID,Adwords,CO31P00001DB75lQADID,2021-06-15T20:57:49Z
MKv4p00000ih0HSAAYID,Adwords,CO34p00001kVVpoAAGID,2021-05-19T18:31:25Z
MKv1P00000nHFC6QAOID,Adwords,CO31P000019PBVhQAOID,2019-09-25T18:57:54Z
MKv1P00000olgI4QAIID,Adwords,CO31P00001B4pk0QABID,2019-12-04T20:32:57Z
MKv1P00000lX4HcQAKID,Event,CO31a00000lPTbKAAWID,2019-06-12T03:14:04Z
MKv1P00000m2DRhQAMID,Event,CO31P000018A7dVQASID,2019-08-27T04:28:55Z
MKv1P00000m2pgkQAAID,Event,CO31a00000xjVDoAAMID,2019-09-13T02:16:07Z
MKv1P00000nHj3YQASID,Event,CO31a00000uaQCaAAMID,2019-10-09T05:13:55Z
MKv1P00000nIWifQAGID,Event,CO31P000019wEDfQAMID,2019-10-19T20:32:43Z
MKv1P00000nIsXPQA0ID,Event,CO31P000019xuxqQAAID,2019-10-30T04:51:06Z
MKv1P00000lWrdpQACID,Event,CO31a00000pfVqmAAEID,2019-06-24T07:00:00Z
MKv1P00000lXsciQACID,Event,CO31a00000f2nC2AAIID,2019-06-24T15:57:26Z
MKv4p00000huJsgAAEID,Adwords,CO34p00001kEcSJAA0ID,2021-04-23T20:34:17Z
MKv4p00000igifDAAQID,Adwords,CO31a00000kBrktAACID,2021-05-18T18:25:14Z
MKv4p00000f6ggbAAAID,Adwords,CO34p00001gyqHgAAIID,2020-10-21T03:14:27Z
MKv4p00000eaw8TAAQID,Adwords,CO31P00001AcJ5BQAVID,2020-09-29T21:21:23Z
MKv1P00000nHxf8QACID,Adwords,CO31P000019vLRDQA2ID,2019-10-15T19:07:45Z
MKv4p00000ihTrXAAUID,Adwords,CO34p00001m1MwjAAEID,2021-05-26T14:49:34Z
MKv4p00000jQnkEAASID,Adwords,CO34p00001mx1uhAAAID,2021-07-26T16:23:44Z
MKv4p00000gmFDQAA2ID,Adwords,CO34p00001jAWTvAAOID,2021-01-14T13:05:39Z
MKv4p00000hup4PAAQID,Adwords,CO31a00000wZOiIAAWID,2021-04-28T00:18:33Z
MKv4p00000f6tq9AAAID,Adwords,CO34p00001gzWLkAAMID,2020-10-27T14:38:20Z
MKv4p00000eb3aVAAQID,Adwords,CO34p00001hBODsAAOID,2020-10-01T15:48:00Z
MKv4p00000jQyWjAAKID,Adwords,CO31a00000pey8LAAQID,2021-07-30T15:15:40Z
MKv4p00000ihrN3AAIID,Adwords,CO34p00001m3YNqAAMID,2021-06-07T23:02:39Z
MKv4p00000ig1Y6AAIID,Adwords,CO34p00001kTBweAAGID,2021-05-06T17:24:56Z
MKv4p00000jQrEJAA0ID,Adwords,CO34p00001n9ms5AAAID,2021-07-27T17:28:09Z
MKv4p00000jQTRgAAOID,Adwords,CO31a00000mUrnXAASID,2021-07-22T18:40:17Z
MKv1P00000m0Nv0QAEID,Adwords,CO31P000016qPJCQA2ID,2019-07-19T10:05:42Z
MKv1P00000nKfkAQASID,Event,CO31P00001AdcPxQAJID,2019-11-21T23:33:39Z
MKv1P00000ir3k7QAAID,Event,CO31P000013do0qQAAID,2019-02-18T23:45:14Z
MKv1P00000jHzSkQAKID,Event,CO31P0000134maRQAQID,2019-03-20T22:31:07Z
MKv1P00000k64tKQAQID,Webinar,CO31a00000wWHw9AAGID,2019-04-04T18:34:12Z
MKv1a0000091kqjAAAID,Event,CO31a00000cZaXdAAKID,2016-07-01T00:08:35Z
MKv1a00000JQM2oAAHID,Event,CO31a00000hL38VAASID,2017-06-16T07:00:00Z
MKv1a00000JQM1lAAHID,Event,CO31a00000hL2vlAACID,2017-06-01T19:34:43Z
MKv1P00000nHVMbQAOID,Event,CO31P000014DQOUQA4ID,2019-10-03T00:20:53Z
MKv1a00000HLH2xAAHID,Event,CO31a00000fvLvSAAUID,2017-04-12T19:03:31Z
MKv1a00000HKRipAAHID,Event,CO31a00000f1hF9AAIID,2017-04-11T19:02:08Z
MKv1a00000Oc9gzAABID,Event,CO31a00000lle8IAAQID,2017-10-09T05:10:21Z
MKv1a00000Oc9gvAABID,Event,CO31a00000llZP2AAMID,2017-10-09T05:11:49Z
MKv1a00000OcBlDAAVID,Event,CO31a00000llb7PAAQID,2017-10-09T05:48:47Z
MKv1a00000ObVTIAA3ID,Event,CO31a00000mhmRWAAYID,2017-10-05T14:48:48Z
MKv1a00000OcALdAANID,Event,CO31a00000llbi7AAAID,2017-10-09T05:22:14Z
MKv1a00000OcDVgAANID,Event,CO31a00000cZZOuAAOID,2017-10-09T06:14:52Z
MKv1a00000OcDaqAAFID,Event,CO31a00000mUfd7AACID,2017-10-09T06:15:34Z
MKv4p00000ijI2XAAUID,Adwords,CO34p00001muBoOAAUID,2021-07-12T13:54:37Z
MKv4p00000d9DCOAA2ID,Adwords,CO31a00000kBrktAACID,2020-06-17T17:27:42Z
MKv1P00000nJb1vQACID,Adwords,CO31a00000uFFrGAAWID,2019-11-06T22:47:00Z
MKv4p00000jQQD5AAOID,Adwords,CO34p00001mw5aTAAQID,2021-07-21T13:01:01Z
MKv1P00000qXCiKQAWID,Adwords,CO31P00001CMZY8QAPID,2020-01-28T18:34:35Z
MKv4p00000eYtPyAAKID,Adwords,CO34p00001h9BDCAA2ID,2020-09-09T21:16:18Z
MKv1P00000omqrsQAAID,Adwords,CO31P00001B7VD6QANID,2019-12-21T11:41:40Z
MKv1P00000om7rUQAQID,Adwords,CO31P00001B6It7QAFID,2019-12-13T16:29:45Z
MKv1a00000X33f9AABID,Event,CO31a00000uDzlVAASID,2018-05-16T21:09:25Z
MKv4p00000iiaLXAAYID,Adwords,CO34p00001mdxjXAAQID,2021-06-22T20:09:28Z
MKv4p00000igSOhAAMID,Adwords,CO34p00001kUABxAAOID,2021-05-12T16:39:11Z
MKv4p00000iiYNgAAMID,Adwords,CO34p00001mdnpvAAAID,2021-06-21T22:50:31Z
MKv4p00000iiEDvAAMID,Adwords,CO34p00001m4P82AAEID,2021-06-11T12:32:16Z
MKv4p00000jSETeAAOID,Adwords,CO34p00001nia1qAAAID,2021-09-08T10:35:47Z
MKv4p00000d8pXqAAIID,Adwords,CO34p00001fmtOJAAYID,2020-05-30T22:36:25Z
MKv4p00000hufbxAAAID,Adwords,CO34p00001kF4qPAASID,2021-04-27T15:41:56Z
MKv4p00000hK7TbAAKID,Adwords,CO34p00001jRGsQAAWID,2021-02-16T20:16:32Z
MKv4p00000fxLvTAAUID,Adwords,CO34p00001ifralAAAID,2021-01-05T04:29:57Z
MKv4p00000igTuuAAEID,Adwords,CO34p00001kULsMAAWID,2021-05-13T10:50:05Z
MKv4p00000ijGiBAAUID,Adwords,CO34p00001mu3WQAAYID,2021-07-11T16:22:18Z
MKv1P00000m0flIQAQID,Adwords,CO31P000017XgruQACID,2019-07-29T01:26:14Z
MKv1P00000s8kgsQAAID,Adwords,CO31P00001DD99BQATID,2020-03-11T17:58:27Z
MKv1P00000qWI1IQAWID,Adwords,CO31P00001Bn7IUQAZID,2020-01-17T03:01:51Z
MKv4p00000goupcAAAID,Adwords,CO34p00001jDVCpAAOID,2021-02-07T18:54:08Z
MKv4p00000clES0AAMID,Adwords,CO34p00001f5aWzAAIID,2020-07-31T15:12:59Z
MKv1P00000k8n61QAAID,Adwords,CO31P000015cdvzQAAID,2019-05-01T15:10:31Z
MKv4p00000ifympAAAID,Adwords,CO34p00001kT0g4AACID,2021-05-05T17:56:35Z
MKv4p00000hsSGVAA2ID,Adwords,CO34p00001kBi4DAASID,2021-04-05T14:04:41Z
MKv4p00000hKyc4AACID,Adwords,CO34p00001jSF9gAAGID,2021-02-24T06:21:08Z
MKv4p00000dAPLQAA4ID,Adwords,CO34p00001fpwcfAAAID,2020-07-02T03:28:32Z
MKv4p00000cm1vPAAQID,Adwords,CO34p00001f6KeUAAUID,2020-08-12T11:41:45Z
MKv4p00000ij8uuAAAID,Adwords,CO34p00001mtHNMAA2ID,2021-07-07T14:54:06Z
MKv1P00000k951MQAQID,Adwords,CO31P000015vLOHQA2ID,2019-05-08T17:35:10Z
MKv4p00000ifZx9AAEID,Adwords,CO34p00001kSldhAACID,2021-05-04T13:45:39Z
MKv1P00000qZONtQAOID,Adwords,CO31P00001D9vmiQABID,2020-02-27T11:58:24Z
MKv1a00000aAF0eAAGID,Adwords,CO31a00000xNlxlAACID,2018-08-23T13:05:03Z
MKv4p00000ig3gtAAAID,Adwords,CO34p00001kTNNgAAOID,2021-05-07T15:49:24Z
MKv4p00000ihAbTAAUID,Adwords,CO34p00001kVreyAACID,2021-05-20T21:27:05Z
MKv1a00000bCRsBAAWID,Adwords,CO31a00000zAOrfAAGID,2018-10-02T20:47:28Z
MKv4p00000ifwokAAAID,Adwords,CO34p00001kSp9GAASID,2021-05-04T20:04:33Z
MKv1P00000kyNHHQA2ID,Adwords,CO31P000015ye55QAAID,2019-05-22T16:58:31Z
MKv1a00000aANelAAGID,Adwords,CO31a00000vb9bcAAAID,2018-08-24T21:23:27Z
MKv4p00000iifbnAAAID,Adwords,CO34p00001meRMcAAMID,2021-06-24T14:50:44Z
MKv4p00000jPimvAACID,Adwords,CO34p00001mvAuwAAEID,2021-07-16T13:44:42Z
MKv4p00000fwBwoAAEID,Adwords,CO34p00001icjQ1AAIID,2020-12-06T15:24:36Z
MKv1P00000omr3jQAAID,Adwords,CO31P00001B7W7CQAVID,2019-12-21T17:55:34Z
MKv4p00000eLhGBAA0ID,Adwords,CO34p00001gwF1LAAUID,2020-08-21T14:08:05Z
MKv4p00000fwOGLAA2ID,Adwords,CO34p00001idPn4AAEID,2020-12-11T12:42:29Z
MKv4p00000jSBEeAAOID,Adwords,CO34p00001niMg0AAEID,2021-09-07T07:34:53Z
MKv4p00000jRTyvAAGID,Adwords,CO34p00001nZPuZAAWID,2021-08-13T19:13:16Z
MKv4p00000ihhuRAAQID,Adwords,CO34p00001m2YBiAAMID,2021-06-02T15:40:00Z
MKv4p00000igRHvAAMID,Adwords,CO34p00001kU7Z6AAKID,2021-05-12T13:07:24Z
MKv1P00000rEF8wQAGID,Adwords,CO31P00001CuphFQARID,2020-04-08T03:55:20Z
MKv4p00000ihrWUAAYID,Adwords,CO31P00001DRL3xQAHID,2021-06-08T01:34:59Z
MKv4p00000jPeyWAASID,Adwords,CO34p00001mvAigAAEID,2021-07-16T12:56:18Z
MKv4p00000fwUY5AAMID,Adwords,CO34p00001idrTqAAIID,2020-12-15T05:34:05Z
MKv1a00000aAimyAACID,Website,CO31a00000xkSEMAA2ID,2018-08-29T17:37:33Z
MKv4p00000jQyKnAAKID,Website,CO34p00001nAdk6AACID,2021-07-30T13:41:11Z
MKv1P00000qWuEhQAKID,Website,CO31P00001CLu07QADID,2020-01-24T16:33:15Z
MKv4p00000ihAVzAAMID,Website,CO34p00001kVrHtAAKID,2021-05-20T20:34:02Z
MKv1P00000iTJ2hQAGID,Website,CO31P0000137sKpQAIID,2019-02-04T17:12:32Z
MKv4p00000jS7gmAACID,Website,CO34p00001m3ygXAAQID,2021-09-03T20:22:23Z
MKv4p00000gmFgNAAUID,Website,CO34p00001jAXvHAAWID,2021-01-14T17:03:43Z
MKv4p00000jPRFoAAOID,Website,CO31P00001CwvrTQARID,2021-07-13T06:44:12Z
MKv4p00000ijJnlAAEID,Website,CO34p00001muGRrAAMID,2021-07-12T22:55:40Z
MKv4p00000clVa4AAEID,Website,CO34p00001f5rizAAAID,2020-08-05T17:13:10Z
MKv1P00000qa3N4QAIID,Website,CO31P00001DBeLEQA1ID,2020-03-07T16:12:24Z
MKv1P00000tOvoeQACID,Website,CO31P00001EqXnxQAFID,2020-05-05T19:42:09Z
MKv1P00000s9NiWQAUID,Website,CO31P00001DRKzbQAHID,2020-03-20T19:25:56Z
MKv4p00000ihI6FAAUID,Website,CO34p00001m0QcGAAUID,2021-05-21T20:37:31Z
MKv4p00000fo9QEAAYID,Website,CO34p00001iZkF3AAKID,2021-03-08T08:40:24Z
MKv1P00000tOXFzQAOID,Website,CO31a00000zAdYaAAKID,2020-04-28T12:20:08Z
MKv4p00000ig40PAAQID,Website,CO34p00001gz9XkAAIID,2021-05-07T17:58:49Z
MKv1P00000bHq8xQACID,Website,CO31P000012nWIRQA2ID,2019-01-16T19:32:28Z
MKv4p00000goIRJAA2ID,Website,CO34p00001jD0KzAAKID,2021-02-03T14:07:57Z
MKv4p00000d8nAUAAYID,Website,CO34p00001fmlx5AAAID,2020-05-28T16:08:55Z
MKv4p00000iggFnAAIID,Website,CO34p00001kV4fGAASID,2021-05-17T18:03:20Z
MKv4p00000igUaoAAEID,Website,CO34p00001kUNlfAAGID,2021-05-13T16:09:50Z
MKv4p00000ii3QZAAYID,Website,CO34p00001m3gKaAAIID,2021-06-08T16:35:07Z
MKv1P00000kyTucQAEID,Website,CO31P000016O3mBQASID,2019-05-23T13:39:28Z
MKv4p00000jQoAzAAKID,Website,CO34p00001mx35VAAQID,2021-07-26T19:05:11Z
MKv4p00000jPZ2wAAGID,Website,CO34p00001mv1KeAAIID,2021-07-15T21:49:34Z
MKv1P00000nKP65QAGID,Website,CO31P00001AclpCQARID,2019-11-16T05:55:37Z
MKv4p00000iiofKAAQID,Website,CO34p00001mfTCUAA2ID,2021-06-29T22:54:06Z
MKv1P00000rDR4yQAGID,Website,CO31P00001CtnKVQAZID,2020-03-30T17:07:55Z
MKv1P00000olRolQAEID,Website,CO31P00001B3kRvQAJID,2019-11-27T20:09:35Z
MKv4p00000fo1jEAAQID,Website,CO34p00001iZKwJAAWID,2021-03-04T03:26:32Z
MKv4p00000f5YTJAA2ID,Website,CO34p00001gxfsCAAQID,2020-10-09T18:12:20Z
MKv1P00000om8hbQAAID,Website,CO31P00001B6Lg4QAFID,2019-12-13T19:31:04Z
MKv4p00000f5JR1AAMID,Website,CO34p00001gxAk3AAEID,2020-10-05T16:44:51Z
MKv4p00000gntVlAAIID,Website,CO34p00001i4ZgHAAUID,2021-01-26T10:01:09Z
MKv4p00000foAafAAEID,Website,CO31P00001DTDNqQAPID,2021-03-08T19:45:24Z
MKv4p00000jPp7YAASID,Website,CO34p00001kE5AkAAKID,2021-07-16T15:16:27Z
MKv4p00000jQsfQAASID,Website,CO34p00001n9pCdAAIID,2021-07-27T22:43:07Z
MKv1P00000m0dDtQAIID,Website,CO31P000017XWfYQAWID,2019-07-26T18:46:39Z
MKv4p00000foBerAAEID,Website,CO31P00001Cvq2uQABID,2021-03-09T12:39:21Z
MKv1P00000okzZaQAIID,Website,CO31P00001AeDBcQANID,2019-11-26T05:39:26Z
MKv4p00000igepkAAAID,Website,CO34p00001kV3ZnAAKID,2021-05-17T16:04:06Z
MKv4p00000ihqNuAAIID,Website,CO34p00001m3UHBAA2ID,2021-06-07T15:19:36Z
MKv4p00000f6EdJAAUID,Website,CO34p00001gxz57AAAID,2020-10-13T06:41:14Z
MKv4p00000iigJ7AAIID,Website,CO31P00001BmRXaQANID,2021-06-24T17:18:15Z
MKv4p00000iiJaHAAUID,Website,CO34p00001mcbaFAAQID,2021-06-15T08:12:04Z
MKv4p00000ihTa3AAEID,Website,CO34p00001m1LtpAAEID,2021-05-26T12:12:30Z
MKv1a00000bBAtuAAGID,Website,CO31a00000ySBduAAGID,2018-09-23T13:42:00Z
MKv4p00000iiLqRAAUID,Website,CO31P000019vxktQAAID,2021-06-16T02:04:16Z
MKv4p00000iiknlAAAID,Website,CO34p00001mf5u3AAAID,2021-06-28T02:07:37Z
MKv4p00000ijAfmAAEID,Website,CO34p00001m2XudAAEID,2021-07-07T23:09:30Z
MKv4p00000iin5AAAQID,Website,CO34p00001mfKFnAAMID,2021-06-29T05:25:29Z
MKv4p00000hLbEgAAKID,Website,CO34p00001jSPHVAA4ID,2021-02-25T16:35:21Z
MKv4p00000jQrKgAAKID,Website,CO34p00001mwYfLAAUID,2021-07-27T18:00:55Z
MKv1P00000nKbwPQASID,Website,CO31P00001AdS3qQAFID,2019-11-20T22:42:23Z
MKv1P00000iqhkYQAQID,Website,CO31a00000xK057AACID,2019-02-15T14:33:09Z
MKv4p00000hK7I8AAKID,Website,CO34p00001jRGKuAAOID,2021-02-16T19:14:38Z
MKv4p00000fo0UQAAYID,Website,CO34p00001iZFmJAAWID,2021-03-03T15:54:44Z
MKv1P00000s8q4AQAQID,Website,CO31P0000137SLkQAMID,2020-03-13T17:52:40Z
MKv1P00000k8mc6QAAID,Website,CO31P000015caNTQAYID,2019-05-01T12:19:00Z
MKv1P00000bHr6DQASID,Website,CO31P0000134N8JQAUID,2019-01-16T23:59:24Z
MKv4p00000ig1ptAAAID,Website,CO34p00001kTCrHAAWID,2021-05-06T19:17:36Z
MKv4p00000jQHbVAAWID,Website,CO34p00001mvR8BAAUID,2021-07-17T18:36:07Z
MKv4p00000ihr24AAAID,Website,CO34p00001m3Wj7AAEID,2021-06-07T19:46:03Z
MKv4p00000f6nxTAAQID,Website,CO34p00001gzAfLAAUID,2020-10-23T18:57:20Z
MKv4p00000ighv1AAAID,Website,CO34p00001kVERzAAOID,2021-05-18T14:22:30Z
MKv4p00000igcO5AAIID,Website,CO31a00000miUCDAA2ID,2021-05-15T18:15:04Z
MKv4p00000ig3wcAAAID,Website,CO34p00001kTYuoAAGID,2021-05-07T17:52:24Z
MKv4p00000iipYPAAYID,Website,CO34p00001mfZxSAAUID,2021-06-30T13:21:24Z
MKv1P00000qZi44QACID,Website,CO31P00001DAcbOQATID,2020-03-02T14:43:41Z
MKv1P00000tPDT6QAOID,Website,CO31P00001Er3NwQAJID,2020-05-09T10:09:18Z
MKv4p00000fo2BWAAYID,Website,CO34p00001iZNOqAAOID,2021-03-04T11:17:50Z
MKv4p00000gmFM8AAMID,Website,CO34p00001jAWuSAAWID,2021-01-14T14:41:53Z
MKv4p00000igT0xAAEID,Website,CO34p00001kU786AACID,2021-05-12T20:42:57Z
MKv4p00000jR4OYAA0ID,Website,CO31P000014DCL1QAOID,2021-08-03T15:23:00Z
MKv4p00000iiFU0AAMID,Website,CO34p00001m4SUcAAMID,2021-06-11T20:01:10Z
MKv4p00000f6QPEAA2ID,Website,CO31P000015b1JEQAYID,2020-10-17T00:12:09Z
MKv4p00000iiIa2AAEID,Website,CO34p00001mcTlQAAUID,2021-06-14T17:26:49Z
MKv1P00000qYALeQAOID,Website,CO31P00001CceotQABID,2020-02-12T15:02:45Z
MKv1P00000qWChQQAWID,Website,CO31P00001Bn0tWQARID,2020-01-16T18:09:01Z
MKv4p00000fo7V7AAIID,Website,CO34p00001iZjHZAA0ID,2021-03-08T04:14:00Z
MKv4p00000iilafAAAID,Website,CO34p00001mfBDNAA2ID,2021-06-28T15:10:27Z
MKv4p00000fo05GAAQID,Website,CO34p00001iZEEqAAOID,2021-03-03T11:50:26Z
MKv1P00000qYFcKQAWID,Website,CO31P00001Cd1m4QABID,2020-02-13T18:40:42Z
MKv1P00000tPSOjQAOID,Website,CO31P00001ErUYDQA3ID,2020-05-13T15:34:58Z
MKv4p00000gmR8ZAAUID,Website,CO34p00001jAjIFAA0ID,2021-01-15T21:41:42Z
MKv4p00000clIW3AAMID,Website,CO34p00001f5eIlAAIID,2020-08-02T10:19:38Z
MKv1P00000m1133QAAID,Website,CO31P000017ZQpHQAWID,2019-08-08T08:46:03Z
MKv4p00000igHEqAAMID,Website,CO34p00001kTtptAACID,2021-05-11T15:08:04Z
MKv4p00000jRl4rAACID,Website,CO34p00001mw83LAAQID,2021-08-23T18:16:38Z
MKv4p00000ifyyjAAAID,Website,CO34p00001kT1HSAA0ID,2021-05-05T19:14:40Z
MKv4p00000iigmEAAQID,Website,CO34p00001meU2qAAEID,2021-06-24T20:31:34Z
